Year,Month,Title,URL
2019,1,"Laba Naik, Saham BBRI Langsung Diserbu Asing",https://www.cnbcindonesia.com/market/20190131094235-17-53222/laba-naik-saham-bbri-langsung-diserbu-asing
2019,2,"Wah, Mulai 11 Maret Bisa Bikin Rekening BCA dari Aplikasi",https://www.cnbcindonesia.com/tech/20190228171212-37-58218/wah-mulai-11-maret-bisa-bikin-rekening-bca-dari-aplikasi
2019,2,"Kuartal III-2019, BCA Fasilitasi Transaksi Wechat & Alipay",https://www.cnbcindonesia.com/tech/20190228183306-37-58244/kuartal-iii-2019-bca-fasilitasi-transaksi-wechat-alipay
2019,2,"Kembangkan Layanan Digital, BCA Siapkan Capex Rp 5,2 T",https://www.cnbcindonesia.com/market/20190228180649-17-58238/kembangkan-layanan-digital-bca-siapkan-capex-rp-52-t
2019,2,Bos BCA: Fasilitas BI Jangan Dipakai Untuk Pendanaan Kredit,https://www.cnbcindonesia.com/market/20190228175819-17-58232/bos-bca-fasilitas-bi-jangan-dipakai-untuk-pendanaan-kredit
2019,2,BCA Keyboard Belum Bisa di Apple iPhone? Ini Penjelasan BCA,https://www.cnbcindonesia.com/tech/20190228173023-37-58223/bca-keyboard-belum-bisa-di-apple-iphone-ini-penjelasan-bca
2019,3,"Terkoreksi 0,19%, Bukan Akhir Zaman Bagi IHSG",https://www.cnbcindonesia.com/market/20190329162631-17-63745/terkoreksi-019-bukan-akhir-zaman-bagi-ihsg
2019,3,"Laba Intiland Amblas 32% Jadi Rp 204 M, Apa Pemicunya?",https://www.cnbcindonesia.com/market/20190329154127-17-63734/laba-intiland-amblas-32-jadi-rp-204-m-apa-pemicunya
2019,3,"Dari BBCA hingga TRAM, Simak Rekomendasi Saham Hari Ini",https://www.cnbcindonesia.com/market/20190329080403-17-63581/dari-bbca-hingga-tram-simak-rekomendasi-saham-hari-ini
2019,3,"Hawa Damai Dagang AS-China Berembus, IHSG Menguat 0,06%",https://www.cnbcindonesia.com/market/20190328124032-17-63415/hawa-damai-dagang-as-china-berembus-ihsg-menguat-006
2019,3,"Disokong Softbank, Ajaib Gaet Ribuan Investor dalam 3 Bulan",https://www.cnbcindonesia.com/mymoney/20190328105603-72-63371/disokong-softbank-ajaib-gaet-ribuan-investor-dalam-3-bulan
2019,4,"Asing Masuk, IHSG Bisa Menguat 0,46% Jelang May Day",https://www.cnbcindonesia.com/market/20190430172731-17-69766/asing-masuk-ihsg-bisa-menguat-046-jelang-may-day
2019,4,"""Lawan"" Pemerintah, Pendapatan Bunga 4 Bank BUKU IV Tertekan",https://www.cnbcindonesia.com/market/20190430153145-17-69731/lawan-pemerintah-pendapatan-bunga-4-bank-buku-iv-tertekan
